DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Liberia           ,50101,40286,35,20,15,4.099378881987578,Bajo-medio
Liberia           ,50101,40313,77,45,32,9.316770186335404,Medio
Liberia           ,50101,40327,46,24,22,5.46583850931677,Bajo-medio
Liberia           ,50101,40328,17,9,8,1.8633540372670807,Bajo
Liberia           ,50101,40340,80,35,45,9.68944099378882,Medio
Liberia           ,50101,40419,84,39,45,10.186335403726709,Medio
Liberia           ,50101,40422,51,28,23,6.086956521739131,Bajo-medio
Liberia           ,50101,40424,102,53,49,12.422360248447205,Alto-medio
Liberia           ,50101,40437,45,21,24,5.341614906832298,Bajo-medio
Liberia           ,50101,40441,98,45,53,11.925465838509316,Medio
Liberia           ,50101,40463,35,18,17,4.099378881987578,Bajo-medio
Liberia           ,50101,40465,60,33,27,7.204968944099378,Medio
Liberia           ,50101,40467,55,24,31,6.583850931677018,Medio
Liberia           ,50101,40496,166,80,86,20.372670807453417,Alto-medio
Liberia           ,50101,40523,47,22,25,5.590062111801243,Bajo-medio
Liberia           ,50101,40529,56,27,29,6.70807453416149,Medio
Liberia           ,50101,40534,58,29,29,6.956521739130435,Medio
Liberia           ,50101,40547,60,30,30,7.204968944099378,Medio
Liberia           ,50101,40574,35,17,18,4.099378881987578,Bajo-medio
Liberia           ,50101,40589,66,30,36,7.950310559006211,Medio
Liberia           ,50101,40611,23,13,10,2.608695652173913,Bajo
Liberia           ,50101,40612,23,11,12,2.608695652173913,Bajo
Liberia           ,50101,40634,43,22,21,5.093167701863354,Bajo-medio
Liberia           ,50101,40652,55,24,31,6.583850931677018,Medio
Liberia           ,50101,40662,137,76,61,16.77018633540373,Alto-medio
Liberia           ,50101,40668,152,79,73,18.633540372670808,Alto-medio
Liberia           ,50101,40676,24,13,11,2.732919254658385,Bajo
Liberia           ,50101,40683,118,54,64,14.409937888198757,Alto-medio
Liberia           ,50101,40686,113,53,60,13.788819875776397,Alto-medio
Liberia           ,50101,40704,70,35,35,8.4472049689441,Medio
Liberia           ,50101,40735,230,114,116,28.322981366459626,Alto
Liberia           ,50101,40736,57,27,30,6.832298136645963,Medio
Liberia           ,50101,40741,95,45,50,11.5527950310559,Medio
Liberia           ,50101,40744,132,60,72,16.149068322981368,Alto-medio
Liberia           ,50101,40747,26,12,14,2.981366459627329,Bajo-medio
Liberia           ,50101,40752,120,65,55,14.658385093167702,Alto-medio
Liberia           ,50101,40755,295,140,155,36.39751552795031,Alto
Liberia           ,50101,40764,67,34,33,8.074534161490684,Medio
Liberia           ,50101,40782,45,20,25,5.341614906832298,Bajo-medio
Liberia           ,50101,40827,82,41,41,9.937888198757763,Medio
Liberia           ,50101,40828,65,33,32,7.82608695652174,Medio
Liberia           ,50101,40844,57,24,33,6.832298136645963,Medio
Liberia           ,50101,40845,74,40,34,8.944099378881988,Medio
Liberia           ,50101,40860,56,29,27,6.70807453416149,Medio
Liberia           ,50101,40864,18,11,7,1.9875776397515528,Bajo
Liberia           ,50101,40865,39,17,22,4.596273291925466,Bajo-medio
Liberia           ,50101,40914,119,49,70,14.534161490683232,Alto-medio
Liberia           ,50101,40925,171,84,87,20.99378881987578,Alto-medio
Liberia           ,50101,40937,58,27,31,6.956521739130435,Medio
Liberia           ,50101,40950,39,17,22,4.596273291925466,Bajo-medio
Liberia           ,50101,40951,119,54,65,14.534161490683232,Alto-medio
Liberia           ,50101,40958,123,62,61,15.031055900621118,Alto-medio
Liberia           ,50101,40961,114,51,63,13.91304347826087,Alto-medio
Liberia           ,50101,40981,56,30,26,6.70807453416149,Medio
Liberia           ,50101,41013,23,8,15,2.608695652173913,Bajo
Liberia           ,50101,41014,22,11,11,2.484472049689441,Bajo
Liberia           ,50101,41022,56,33,23,6.70807453416149,Medio
Liberia           ,50101,41041,99,48,51,12.049689440993788,Medio
Liberia           ,50101,41048,77,35,42,9.316770186335404,Medio
Liberia           ,50101,41051,176,81,95,21.614906832298136,Alto
Liberia           ,50101,41065,143,70,73,17.51552795031056,Alto-medio
Liberia           ,50101,41075,63,32,31,7.577639751552795,Medio
Liberia           ,50101,41168,97,46,51,11.801242236024844,Medio
Liberia           ,50101,41169,92,44,48,11.180124223602485,Medio
Liberia           ,50101,41206,119,54,65,14.534161490683232,Alto-medio
Liberia           ,50101,41231,21,7,14,2.360248447204969,Bajo
Liberia           ,50101,41279,22,12,10,2.484472049689441,Bajo
Liberia           ,50101,41284,121,64,57,14.782608695652174,Alto-medio
Liberia           ,50101,41322,107,49,58,13.043478260869565,Alto-medio
Liberia           ,50101,41345,62,31,31,7.453416149068323,Medio
Liberia           ,50101,41378,128,60,68,15.65217391304348,Alto-medio
Liberia           ,50101,41392,18,8,10,1.9875776397515528,Bajo
Liberia           ,50101,41400,45,24,21,5.341614906832298,Bajo-medio
