DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Liberia           ,50101,44317,131,71,60,17.646965241842917,16.024844720496894,74.719,108.3908099623398,30.10467392286136,Alto-medio
Liberia           ,50101,44329,37,17,20,18.992509657245346,4.3478260869565215,75.075,98.41533574420187,25.876630287844737,Medio
Liberia           ,50101,44344,119,57,62,18.427944904842995,14.534161490683232,84.009,116.97110639552622,33.74138000094708,Alto-medio
Liberia           ,50101,44363,12,7,5,24.67523183915977,1.2422360248447204,85.674,111.5914678640045,31.461253166421884,Alto-medio
Liberia           ,50101,44375,146,67,79,20.366890295334635,17.888198757763977,76.219,114.47408905309861,32.68303449773472,Alto-medio
Liberia           ,50101,44382,124,64,60,8.300737319563572,15.15527950310559,76.664,100.12001682266916,26.599148919634885,Medio
Liberia           ,50101,44387,37,18,19,11.495622962079,4.3478260869565215,72.33,88.17344904903553,21.535669356551526,Bajo
Liberia           ,50101,44451,53,28,25,11.757652675739712,6.3354037267080745,78.214,96.30705640244778,24.983049004708075,Bajo-medio
Liberia           ,50101,44471,32,21,11,13.29882755309546,3.7267080745341614,73.968,90.99353562762963,22.730945776307163,Bajo-medio
Liberia           ,50101,44485,53,27,26,8.319163208568504,6.3354037267080745,80.186,94.84056693527658,24.361486428142218,Bajo-medio
Liberia           ,50101,44497,70,32,38,22.75510952462377,8.4472049689441,69.653,100.85531449356787,26.91080033282115,Medio
Liberia           ,50101,44511,41,15,26,11.444763500377801,4.84472049689441,79.289,95.57848399727222,24.674248054197843,Bajo-medio
Liberia           ,50101,44513,44,23,21,12.828578377856873,5.217391304347826,73.404,91.4499696822047,22.924402554105463,Bajo-medio
Liberia           ,50101,44524,75,34,41,15.933025779425453,9.06832298136646,73.214,98.21534876079191,25.79186703009853,Medio
Liberia           ,50101,44539,38,18,20,27.44611847303607,4.472049689440994,70.613,102.53116816247706,27.62110064367428,Medio
Liberia           ,50101,44543,78,34,44,20.362616974362425,9.440993788819876,78.87,108.6736107631823,30.22453730978743,Alto-medio
Liberia           ,50101,44577,236,119,117,27.529722521201315,29.068322981366464,74.651,131.24904550256778,39.79299702111021,Alto
Liberia           ,50101,44583,126,62,64,28.707285242118424,15.403726708074533,74.491,118.60201195019296,34.43262932894235,Alto-medio
Liberia           ,50101,44667,53,25,28,29.684064478666972,6.3354037267080745,70.074,106.09346820537505,29.13095969328302,Alto-medio
Liberia           ,50101,44679,74,38,36,14.39433930098653,8.944099378881988,74.727,98.06543867986852,25.728328560687174,Medio
Liberia           ,50101,44683,56,19,37,12.403246957993897,6.70807453416149,77.256,96.36732149215538,25.008591993781078,Bajo-medio
Liberia           ,50101,44684,23,13,10,13.021391484331032,2.608695652173913,74.513,90.14308713650495,22.370488393411897,Bajo-medio
Liberia           ,50101,44690,43,26,17,20.900739445750833,5.093167701863354,95.884,121.8779071476142,35.82109743938611,Alto
Liberia           ,50101,44729,248,166,82,17.08058632670322,30.559006211180122,75.084,122.72359253788335,36.17953601116374,Alto
Liberia           ,50101,44732,90,31,59,11.762587805007076,10.93167701863354,79.388,102.08226482364063,27.430835713606687,Medio
Liberia           ,50101,44745,30,17,13,17.35622348769462,3.4782608695652173,72.118,92.95248435725983,23.561234194333164,Bajo-medio
Liberia           ,50101,44761,113,58,55,19.622455141952884,13.788819875776397,74.653,108.06427501772929,29.966274087025912,Alto-medio
Liberia           ,50101,44763,55,23,32,11.365118357870108,6.583850931677018,74.514,92.46296928954712,23.35375623177934,Bajo-medio
Liberia           ,50101,44776,10,5,5,21.73810311422362,0.9937888198757764,88.197,110.9288919340994,31.180424417643522,Alto-medio
Liberia           ,50101,44791,119,52,67,20.28228944706707,14.534161490683232,75.657,110.4734509377503,30.987388541490574,Alto-medio
Liberia           ,50101,44795,311,157,154,26.547924880687347,38.38509316770186,77.781,142.71401804838922,44.65235539726258,Alto
Liberia           ,50101,44805,51,30,21,26.531418993999477,6.086956521739131,71.997,104.6153755157386,28.504479161959623,Medio
Liberia           ,50101,44819,51,24,27,18.6962694583886,6.086956521739131,72.384,97.16722598012774,25.3476266105859,Medio
Liberia           ,50101,44839,102,50,52,12.70205794466027,12.422360248447205,74.412,99.53641819310748,26.351794215771662,Medio
Liberia           ,50101,44844,4,1,3,24.524972608802926,0.2484472049689441,74.513,99.28641981377187,26.245833934245148,Medio
Liberia           ,50101,44860,175,89,86,26.155104332110934,21.490683229813666,74.148,121.7937875619246,35.785443868329956,Alto
Liberia           ,50101,44863,131,58,73,17.013885450404377,16.024844720496894,76.78,109.81873017090128,30.709889155450764,Alto-medio
Liberia           ,50101,44882,54,25,29,16.40459533316291,6.459627329192546,73.886,96.75022266235545,25.170882309018545,Medio
