DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Liberia           ,50101,39529,22,16,38,18,9,9,0,0,0,14,9,5,0,0,0,6,4,2,32,18,14,0,0,0,0,0,0,0,0,0,0,32,18,14,38,10.59602649,34,19,15,4,3,1,2,2,0,1,1,0,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,38,4.081632653,13,8,5,2,1,1,23,13,10,15,9,6,38,6.43776824,0,0,0,13,11,2,14,4,10,0.0,123.7999,3,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,48.46764153204915,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,87.92938623214226,16.63717521723514,Medio
Liberia           ,50101,39566,12,21,33,4,2,2,0,0,0,11,4,7,4,2,2,22,8,14,7,2,5,0,0,0,4,2,2,0,0,0,0,11,4,7,33,3.642384105,32,12,20,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.020408163,10,3,7,1,0,1,22,9,13,11,3,8,33,4.721030042,1,1,0,13,6,7,13,3,10,3.333333333,114.2799,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,41.10588708367809,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,72.16936004377119,11.903009288436579,Bajo-medio
Liberia           ,50101,39577,9,14,23,0,0,0,0,0,0,0,0,0,0,0,0,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.0,18,7,11,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5.102040816,2,0,2,0,0,0,21,9,12,2,0,2,23,0.858369098,0,0,0,11,5,6,10,4,6,0.0,133.3199,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,55.8293959804202,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,80.13612321151331,14.296151171624672,Bajo-medio
Liberia           ,50101,39580,14,18,32,0,0,0,0,0,0,3,2,1,0,0,0,29,12,17,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,32,0.993377483,31,14,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,32,1.020408163,2,1,1,8,2,6,22,11,11,10,3,7,32,4.291845493,0,0,0,16,9,7,14,4,10,0.0,133.32,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,55.82947330977365,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,80.48142176586676,14.399875659880262,Bajo-medio
Liberia           ,50101,39581,11,12,23,0,0,0,0,0,0,0,0,0,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.0,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.0,5,1,4,0,0,0,18,10,8,5,1,4,23,2.145922746,0,0,0,8,4,4,13,6,7,0.0,133.32,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,55.82947330977365,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,76.32171337286675,13.150337777613998,Bajo-medio
Liberia           ,50101,39600,34,36,70,36,19,17,36,19,17,35,20,15,25,9,16,12,6,6,16,7,9,13,4,9,26,16,10,3,1,2,0,58,28,30,70,19.205298013,67,32,35,3,2,1,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,1,1,0,0,0,0,70,3.061224489,27,14,13,2,1,1,41,19,22,29,15,14,70,12.446351931,5,5,0,18,9,9,26,9,17,16.666666666,114.2803,5,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,41.10619640109189,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,110.83205481718501,23.516924780968644,Alto-medio
Liberia           ,50101,39616,36,43,79,38,16,22,7,4,3,21,10,11,7,4,3,31,14,17,23,10,13,25,12,13,0,0,0,0,0,0,0,48,22,26,79,15.894039735,77,35,42,2,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,2.040816326,33,20,13,3,0,3,43,16,27,36,20,16,79,15.450643776,0,0,0,18,11,7,37,11,26,0.0,114.2802,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,41.10611907173844,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,92.83793622583156,18.11165818205882,Medio
Liberia           ,50101,39617,67,67,134,19,7,12,0,0,0,9,7,2,2,0,2,104,53,51,30,14,16,0,0,0,0,0,0,0,0,0,0,30,14,16,134,9.933774834,124,61,63,10,6,4,7,6,1,1,1,0,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,134,10.204081632,52,31,21,2,0,2,80,36,44,54,31,23,134,23.175965665,6,3,3,40,24,16,42,11,31,20.0,88.8,1,0,0,0,2,1,1,0,0,0,3,0,8,5,3,0,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,1,1,2,1,0,0,0,0,2,0,0,21.40244515415606,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,103.06258460224916,21.183047873866485,Alto-medio
Liberia           ,50101,39635,20,27,47,0,0,0,0,0,0,18,5,13,0,0,0,29,15,14,18,5,13,0,0,0,0,0,0,0,0,0,0,18,5,13,47,5.9602649,44,19,25,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,47,3.061224489,16,7,9,0,0,0,31,13,18,16,7,9,47,6.866952789,0,0,0,9,7,2,25,7,18,0.0,161.8799,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,77.91465932553336,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,112.14941882062648,23.912648728782898,Alto-medio
Liberia           ,50101,39657,11,14,25,0,0,0,0,0,0,3,2,1,0,0,0,22,9,13,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,25,0.993377483,23,10,13,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,25,2.040816326,5,2,3,1,0,1,19,9,10,6,2,4,25,2.575107296,0,0,0,12,6,6,9,4,5,0.0,133.32,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,55.82947330977365,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,79.78509173186676,14.190704565698049,Bajo-medio
Liberia           ,50101,39674,18,16,34,6,2,4,0,0,0,6,2,4,3,2,1,25,14,11,3,2,1,6,2,4,0,0,0,0,0,0,0,9,4,5,34,2.98013245,34,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,9,4,5,0,0,0,25,14,11,9,4,5,34,3.862660944,0,0,0,15,8,7,14,6,8,0.0,142.8401,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,63.19130508749816,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,88.38041579859127,16.772660322452744,Medio
